channel_num,center_freq_mhz,timestamp,avg_power_db,peak_power_db,std_dev_db,signal_presence_ratio,mean_amplitude,max_amplitude,crest_factor,noise_floor_db,num_detected_peaks,in_channel_power_db,spectral_flatness,ap_channel,sample_id
7,2442.0000000018617,2025-04-21T19:25:01.752665,-93.36638,-60.5515,8.338302,0.23404255319148937,0.21954899149533855,1.4131991863250732,3.3911316701457284,-99.668434,5,-97.80121,0.10316185653209686,2,2
7,2442.0000000018617,2025-04-21T19:25:02.442170,-99.36728,-73.151215,1.8009669,0.0,0.020658877535467104,0.17404873669147491,4.400216950346368,-99.98733,0,-99.38352,0.8497593998908997,2,3
8,2447.00000000186,2025-04-21T19:25:02.629808,-99.38565,-67.19365,1.4875171,0.0,0.020848033485565593,0.1536068618297577,4.402664383194784,-99.987724,1,-99.01989,0.873018205165863,2,1
8,2447.00000000186,2025-04-21T19:25:03.312355,-93.33333,-69.9511,6.3573155,0.723404255319149,0.18497187202057344,0.6264575123786926,2.682845129021726,-99.56025,5,-91.771515,0.31872546672821045,2,2
8,2447.00000000186,2025-04-21T19:25:03.990961,-99.016464,-82.12085,2.5368779,0.0,0.05042610009312381,0.09377045184373856,1.7661398868207852,-99.98028,0,-99.93559,0.735095739364624,2,3
9,2452.000000001859,2025-04-21T19:25:04.159860,-99.96834,-99.00997,0.011561673,0.0,0.004803545265134096,0.02120014652609825,3.901935866395295,-99.98799,0,-99.96268,0.9999972581863403,2,1
9,2452.000000001859,2025-04-21T19:25:04.839392,-99.48418,-72.33829,1.7369078,0.0,0.01953927437166,0.12326785922050476,3.4816016634816607,-99.98835,0,-99.00065,0.8424119353294373,2,2
9,2452.000000001859,2025-04-21T19:25:05.508190,-99.43918,-69.11243,1.845504,0.0,0.023050134471420652,0.15112096071243286,3.7657813006994223,-99.98569,1,-98.92917,0.7964852452278137,2,3
10,2457.000000001862,2025-04-21T19:25:05.680005,-99.75983,-76.510345,1.0083468,0.0,0.00876912432608129,0.12293697893619537,5.6913408049431595,-99.9893,0,-99.54707,0.957273542881012,2,1
10,2457.000000001862,2025-04-21T19:25:06.347426,-99.88605,-93.05231,0.19205908,0.0,0.008072056648976911,0.040371641516685486,3.8705881470146335,-99.98955,0,-99.89239,0.9989702701568604,2,2
10,2457.000000001862,2025-04-21T19:25:07.009606,-99.96544,-98.45001,0.020571563,0.0,0.004945335917339555,0.02152731642127037,3.785360730441557,-99.989845,0,-99.961075,0.9999884963035583,2,3
11,2462.0000000018617,2025-04-21T19:25:07.199938,-99.52726,-69.84787,1.9672788,0.0,0.020367532369242044,0.12007588148117065,2.8753984861245394,-99.990456,1,-99.97029,0.7679941654205322,2,1
11,2462.0000000018617,2025-04-21T19:25:07.869230,-99.700294,-74.100296,1.1073259,0.0,0.011018680959231265,0.1282707154750824,5.304372226708413,-99.99023,0,-99.9652,0.9447888135910034,2,2
11,2462.0000000018617,2025-04-21T19:25:08.542688,-99.57774,-69.733215,1.5588108,0.0,0.016131596998915754,0.14539341628551483,4.357742390351378,-99.989586,1,-99.96231,0.860599935054779,2,3
1,2412.000000001859,2025-04-21T19:25:20.087083,-99.98183,-99.676254,0.005913459,0.0,0.0036230969488695356,0.019917946308851242,4.854008501529092,-99.99163,0,-99.98051,0.9999998211860657,3,1
1,2412.000000001859,2025-04-21T19:25:20.766619,-95.15067,-69.36629,6.6937647,0.23404255319148937,0.10050557661315129,0.5583717226982117,2.699736479132987,-99.99096,3,-95.05668,0.2598635256290436,3,2
1,2412.000000001859,2025-04-21T19:25:21.451279,-99.62567,-74.68839,1.3775188,0.0,0.01635704904881725,0.08097225427627563,2.7699522258444986,-99.991165,1,-99.71524,0.9008637070655823,3,3
2,2417.000000001862,2025-04-21T19:25:21.640399,-99.64935,-74.33771,1.228105,0.0,0.012956137049431894,0.08686016499996185,3.4227629377573603,-99.99131,0,-99.58571,0.9307413101196289,3,1
2,2417.000000001862,2025-04-21T19:25:22.331546,-99.97514,-95.90193,0.015429321,0.0,0.0041931090973594265,0.07531146705150604,14.667284845490782,-99.99119,0,-99.97137,0.9999940395355225,3,2
2,2417.000000001862,2025-04-21T19:25:23.015899,-99.86061,-78.925446,0.5688793,0.0,0.0072541577745389085,0.07920662313699722,5.598024402538785,-99.99061,0,-99.95978,0.9880114197731018,3,3
3,2422.0000000018617,2025-04-21T19:25:23.199872,-99.893005,-81.93399,0.3837387,0.0,0.007558167975397472,0.056258682161569595,5.097533771013706,-99.98148,0,-99.950645,0.9951245784759521,3,1
3,2422.0000000018617,2025-04-21T19:25:23.882860,-99.78327,-78.01181,0.80040854,0.0,0.008864554848629184,0.08875378966331482,5.118598913163687,-99.98903,0,-99.690544,0.9753415584564209,3,2
3,2422.0000000018617,2025-04-21T19:25:24.555863,-99.66913,-74.23209,1.208262,0.0,0.014527270716331779,0.0850229561328888,3.309464461545429,-99.98746,0,-99.52102,0.9276899695396423,3,3
4,2427.00000000186,2025-04-21T19:25:24.725084,-99.71936,-73.79515,0.9750489,0.0,0.012660005602878385,0.09689820557832718,4.406136997232903,-99.98829,0,-99.585495,0.9570057392120361,3,1
4,2427.00000000186,2025-04-21T19:25:25.393918,-92.30792,-62.98787,8.633967,0.23404255319148937,0.192910841986394,1.3283424377441406,3.1570318951448333,-99.84882,5,-88.34853,0.12943649291992188,3,2
4,2427.00000000186,2025-04-21T19:25:26.077271,-97.27826,-72.92816,3.9834356,0.06382978723404255,0.027552654268744592,0.49033865332603455,5.31560533626653,-99.98625,0,-94.80271,0.5866755247116089,3,3
5,2432.000000001859,2025-04-21T19:25:26.255565,-86.7944,-62.29895,7.3724217,0.23404255319148937,0.332111852528107,1.4132205247879028,2.726159821888218,-97.49154,8,-88.85052,0.30512934923171997,3,1
5,2432.000000001859,2025-04-21T19:25:26.934280,-99.7267,-71.66916,0.98510337,0.0,0.010896784671406274,0.12058407813310623,5.695418465823891,-99.98656,0,-99.960915,0.9507725238800049,3,2
5,2432.000000001859,2025-04-21T19:25:27.619156,-99.443924,-72.82769,1.7150882,0.0,0.02088803995336947,0.10981845110654831,3.067807882335451,-99.98248,0,-99.608765,0.8571354746818542,3,3
6,2437.000000001862,2025-04-21T19:25:27.805851,-87.41208,-61.945877,9.667358,0.7659574468085106,0.6558014334963916,1.413220763206482,1.766528424611439,-97.55477,7,-90.706535,0.11187678575515747,3,1
6,2437.000000001862,2025-04-21T19:25:28.501747,-93.87968,-68.54872,8.735983,0.7659574468085106,0.29293854807534214,0.5972850918769836,1.6534601178348285,-99.9678,5,-97.92939,0.12097050994634628,3,2
6,2437.000000001862,2025-04-21T19:25:29.180023,-91.838806,-63.38062,8.941255,0.3191489361702128,0.23645492983600425,1.412811279296875,3.038685912972935,-99.30818,6,-95.67224,0.11856165528297424,3,3
7,2442.0000000018617,2025-04-21T19:25:29.353171,-94.282425,-62.73115,8.17591,0.18181818181818182,0.1323523334534623,1.3683054447174072,4.081196701652031,-99.88953,5,-98.57404,0.12470711767673492,3,1
7,2442.0000000018617,2025-04-21T19:25:30.035865,-99.77047,-77.26195,0.9685826,0.0,0.012138897744590973,0.07595885545015335,3.7955829985000182,-99.986824,0,-99.94924,0.9548956155776978,3,2
7,2442.0000000018617,2025-04-21T19:25:30.721578,-94.122025,-61.472206,8.361009,0.23404255319148937,0.19638256777014193,1.4132206439971924,3.4813373379136965,-99.74068,4,-99.01855,0.09124519675970078,3,3
8,2447.00000000186,2025-04-21T19:25:30.914670,-98.04457,-77.03612,3.4880872,0.0,0.039115900669089945,0.23647749423980713,3.070913378566751,-99.97794,0,-96.144035,0.6261235475540161,3,1
8,2447.00000000186,2025-04-21T19:25:31.593942,-99.55426,-84.8093,1.1868107,0.0,0.017692489140621562,0.08718721568584442,3.3735499793614188,-99.98044,0,-99.942795,0.9495688676834106,3,2
8,2447.00000000186,2025-04-21T19:25:32.260522,-96.97794,-65.44052,5.4971356,0.0,0.16555904122656168,0.37720292806625366,2.0437821920050694,-99.89523,2,-99.41583,0.20628081262111664,3,3
9,2452.000000001859,2025-04-21T19:25:32.437788,-99.918564,-94.67261,0.09530476,0.0,0.0069971896630304274,0.32452279329299927,36.82552285413597,-99.984856,0,-99.898964,0.9997533559799194,3,1
9,2452.000000001859,2025-04-21T19:25:33.108036,-98.184875,-77.04251,3.2422972,0.0,0.03251158766414307,0.240474671125412,3.445657774272355,-99.98699,0,-96.62135,0.6762949228286743,3,2
9,2452.000000001859,2025-04-21T19:25:33.790994,-99.66947,-71.10025,1.4209397,0.0,0.013093513073799856,0.11925534158945084,3.957906223470201,-99.982445,1,-99.372444,0.880296528339386,3,3
10,2457.000000001862,2025-04-21T19:25:33.969741,-99.66386,-72.367386,1.396777,0.0,0.012327605463536421,0.11992670595645905,4.332959272990757,-99.9826,0,-99.37005,0.8972641825675964,3,1
10,2457.000000001862,2025-04-21T19:25:34.648886,-99.96348,-98.16382,0.022784203,0.0,0.005053306058590045,0.030279291793704033,5.214608797282387,-99.989296,0,-99.9671,0.9999850392341614,3,2
